depto,victim_conflict,response,friendliness,substantive,gender_female,words_responses,victim_ID
BOYACA,1,0,0,0,1,0,520
SANTANDER,1,1,3,1,1,53,521
ANTIOQUIA,0,0,0,0,1,0,522
CUNDINAMARCA,0,0,0,0,1,0,523
CUNDINAMARCA,0,1,5,1,0,82,524
BOLIVAR,0,1,3,2,0,107,525
NARINO,1,0,0,0,1,0,526
BOLIVAR,0,0,0,0,0,0,527
LA GUAJIRA,1,0,0,0,1,0,528
SUCRE,1,0,0,0,1,0,529
SANTANDER,1,0,0,0,0,0,530
ATLANTICO,0,0,0,0,1,0,531
NARINO,1,0,0,0,1,0,532
ATLANTICO,1,0,0,0,1,0,533
CESAR,0,0,0,0,1,0,534
LA GUAJIRA,1,0,0,0,0,0,535
CASANARE,0,0,0,0,0,0,536
CALDAS,1,1,1,0,1,11,537
CUNDINAMARCA,0,1,2,2,0,58,538
CALDAS,1,1,5,1,0,93,539
META,1,0,0,0,1,0,540
BOLIVAR,0,0,0,0,0,0,541
BOLIVAR,0,0,0,0,1,0,542
ANTIOQUIA,0,0,0,0,1,0,543
BOYACA,1,0,0,0,0,0,544
TOLIMA,0,1,3,2,0,75,545
CALDAS,1,0,0,0,1,0,546
CALDAS,1,0,0,0,1,0,547
RISARALDA,1,1,4,2,1,128,548
CALDAS,1,0,0,0,0,0,549
SANTANDER,1,1,2,0,1,27,550
CUNDINAMARCA,1,0,0,0,0,0,551
CHOCO,1,1,0,0,0,14,552
CHOCO,1,0,0,0,1,0,553
CHOCO,1,0,0,0,0,0,554
TOLIMA,1,0,0,0,0,0,555
CAUCA,1,0,0,0,0,0,556
META,1,0,0,0,1,0,557
CAQUETA,0,0,0,0,1,0,558
BOYACA,1,1,6,4,1,183,559
GUAVIARE,1,1,4,1,1,142,560
CAUCA,1,1,3,2,1,158,561
RISARALDA,1,0,0,0,0,0,562
VAUPES,1,1,5,3,1,161,563
PUTUMAYO,1,0,0,0,0,0,564
SANTANDER,1,0,0,0,1,0,565
SANTANDER,1,1,6,1,1,200,566
CORDOBA,1,0,0,0,0,0,567
BOLIVAR,0,0,0,0,0,0,568
BOYACA,1,0,0,0,0,0,569
BOYACA,1,1,2,2,0,76,570
BOYACA,1,0,0,0,0,0,571
CORDOBA,0,0,0,0,0,0,572
ANTIOQUIA,1,0,0,0,1,0,573
BOLIVAR,0,0,0,0,1,0,574
CORDOBA,0,0,0,0,0,0,575
QUINDIO,1,0,0,0,0,0,576
CORDOBA,1,1,4,1,1,41,577
CASANARE,1,0,0,0,1,0,578
BOLIVAR,0,0,0,0,1,0,579
CAUCA,1,0,0,0,1,0,580
CAQUETA,1,0,0,0,1,0,581
SUCRE,1,0,0,0,0,0,582
CUNDINAMARCA,1,1,3,1,1,104,583
NARINO,0,0,0,0,0,0,584
BOYACA,1,1,3,1,1,38,585
TOLIMA,0,0,0,0,0,0,586
ANTIOQUIA,1,0,0,0,0,0,587
ANTIOQUIA,1,0,0,0,0,0,588
NORTE DE SANTANDER,1,1,4,1,1,23,589
BOYACA,1,0,0,0,0,0,590
CUNDINAMARCA,0,0,0,0,0,0,591
NARINO,1,1,3,1,1,30,592
ANTIOQUIA,1,1,1,2,1,15,593
HUILA,1,0,0,0,0,0,594
TOLIMA,1,0,0,0,0,0,595
ANTIOQUIA,0,0,0,0,0,0,596
ANTIOQUIA,1,0,0,0,1,0,597
CALDAS,1,0,0,0,0,0,598
HUILA,1,0,0,0,1,0,599
CUNDINAMARCA,1,1,5,3,0,478,600
CUNDINAMARCA,1,1,5,2,0,126,601
CUNDINAMARCA,1,0,0,0,0,0,602
BOYACA,1,1,5,1,0,70,603
CUNDINAMARCA,0,0,0,0,1,0,604
CALDAS,1,0,0,0,1,0,605
BOLIVAR,1,0,0,0,0,0,606
CHOCO,1,0,0,0,0,0,607
MAGDALENA,0,0,0,0,1,0,608
BOYACA,1,1,5,1,1,50,609
CASANARE,1,0,0,0,1,0,610
CHOCO,0,0,0,0,0,0,611
VALLE DEL CAUCA,1,0,0,0,1,0,612
SANTANDER,1,0,0,0,0,0,613
NORTE DE SANTANDER,1,1,3,3,1,237,614
SANTANDER,0,0,0,0,1,0,615
BOYACA,1,0,0,0,1,0,616
NARINO,1,0,0,0,1,0,617
ANTIOQUIA,1,1,4,1,1,49,618
SANTANDER,1,1,2,1,1,207,619
HUILA,1,0,0,0,0,0,620
PUTUMAYO,1,0,0,0,0,0,621
CASANARE,1,0,0,0,1,0,622
TOLIMA,1,0,0,0,0,0,623
NARINO,1,0,0,0,0,0,624
BOYACA,0,0,0,0,0,0,625
SUCRE,1,0,0,0,1,0,626
BOYACA,1,0,0,0,0,0,627
CUNDINAMARCA,1,0,0,0,1,0,628
CALDAS,0,0,0,0,1,0,629
CAUCA,1,0,0,0,1,0,630
BOYACA,1,0,0,0,1,0,631
CAUCA,1,0,0,0,0,0,632
HUILA,1,0,0,0,0,0,633
CESAR,1,1,1,2,0,56,634
CUNDINAMARCA,1,0,0,0,0,0,635
BOYACA,0,1,1,1,0,42,636
